context_switches,cpu_usage,execution_time_us,hw_branch_instructions,hw_branch_misses,hw_cache_misses,hw_cache_references,hw_cpu_cycles,hw_instructions,hw_telemetry_available,max_rss_kb,sw_context_switches,sw_cpu_migrations,sw_page_faults,synthetic_branch_proxy,synthetic_cache_proxy,is_anomaly
0.0,14.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.791,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.083,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17383424.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17399808.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17399808.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.042,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,14.542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17416192.0,-1.0,-1.0,-1.0,0.0,0.0,0
