Algorithm,Model,Seq_Len,Test_Type,TP,TN,FP,FN,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,FPR,Latency_Mean_ms,Latency_Median_ms,Latency_95th_ms
ML-KEM-1024,HMM,10,Standard,45,361,437,48,0.09336099585062241,0.4838709677419355,0.15652173913043477,0.49765542889481773,0.1089751080151664,-0.039113335658051876,0.4681259600614439,0.5476190476190477,0.11457292886916548,0.11352099681971595,0.12205444509163499
ML-KEM-1024,HMM,10,Mixed_Unseen,60,448,448,35,0.11811023622047244,0.631578947368421,0.1990049751243781,0.6002467105263158,0.14072109000858474,0.0774991240226644,0.5657894736842105,0.5,0.11457292886916548,0.11352099681971595,0.12205444509163499
ML-KEM-1024,GRU,20,Standard,9,780,9,83,0.5,0.09782608695652174,0.16363636363636364,0.7603253981374332,0.30904165851323545,0.18681047376741608,0.5432096214250289,0.011406844106463879,2.602917860931484,2.7226460006204434,3.011012507340638
ML-KEM-1024,GRU,20,Mixed_Unseen,20,882,6,73,0.7692307692307693,0.21505376344086022,0.3361344537815126,0.8431173108592463,0.5183386247868467,0.37987667355545335,0.6041485033420517,0.006756756756756757,2.602917860931484,2.7226460006204434,3.011012507340638
ML-KEM-1024,LSTM,20,Standard,0,789,0,92,0.0,0.0,0.0,0.758431145643908,0.3179229451788728,0.0,0.5,0.0,1.0906949600030202,1.087166994693689,1.1686583537084516
ML-KEM-1024,LSTM,20,Mixed_Unseen,0,888,0,93,0.0,0.0,0.0,0.8427782621331007,0.511713256882237,0.0,0.5,0.0,1.0906949600030202,1.087166994693689,1.1686583537084516
ML-KEM-1024,HMM,20,Standard,25,504,285,67,0.08064516129032258,0.2717391304347826,0.12437810945273632,0.45687992505648317,0.09419808905489399,-0.057299105087055616,0.4552612001983799,0.3612167300380228,0.11383878969354555,0.1127915020333603,0.11967740501859225
ML-KEM-1024,HMM,20,Mixed_Unseen,43,571,317,50,0.11944444444444445,0.46236559139784944,0.18984547461368656,0.5712486680228616,0.1291892033720812,0.06405071407593385,0.5526918047079338,0.356981981981982,0.11383878969354555,0.1127915020333603,0.11967740501859225
ML-DSA-44,GRU,5,Standard,4,801,2,89,0.6666666666666666,0.043010752688172046,0.08080808080808081,0.7531568446283426,0.31513837788759785,0.15153014829570083,0.5202600463316327,0.0024906600249066002,1.1461371097539086,1.1388959974283352,1.225510106451111
ML-DSA-44,GRU,5,Mixed_Unseen,11,897,3,85,0.7857142857142857,0.11458333333333333,0.19999999999999998,0.8306250000000001,0.5073995984039094,0.27889268868328054,0.555625,0.0033333333333333335,1.1461371097539086,1.1388959974283352,1.225510106451111
ML-DSA-44,LSTM,5,Standard,1,802,1,92,0.5,0.010752688172043012,0.02105263157894737,0.7394716051366514,0.3027918324826585,0.061443414853992705,0.5047536790797948,0.0012453300124533001,0.8375875407364219,0.830895995022729,0.8714565905393101
ML-DSA-44,LSTM,5,Mixed_Unseen,6,899,1,90,0.8571428571428571,0.0625,0.11650485436893204,0.8264930555555556,0.5128704715839802,0.21686999944317192,0.5306944444444445,0.0011111111111111111,0.8375875407364219,0.830895995022729,0.8714565905393101
ML-DSA-44,HMM,5,Standard,47,487,316,46,0.12947658402203857,0.5053763440860215,0.206140350877193,0.5632373224065668,0.12776213582822699,0.06949064095414784,0.5559260300753893,0.39352428393524286,0.11306416970910504,0.1120215019909665,0.11743896247935481
ML-DSA-44,HMM,5,Mixed_Unseen,44,554,346,52,0.11282051282051282,0.4583333333333333,0.18106995884773663,0.5687731481481482,0.12966006569225702,0.044675291151216864,0.5369444444444444,0.3844444444444444,0.11306416970910504,0.1120215019909665,0.11743896247935481
ML-DSA-44,GRU,10,Standard,8,791,7,85,0.5333333333333333,0.08602150537634409,0.14814814814814814,0.7429864985043253,0.33181490528064284,0.1835867523395388,0.5386247877758913,0.008771929824561403,1.7751133603451308,1.7967914973269217,1.9344451953656971
ML-DSA-44,GRU,10,Mixed_Unseen,19,893,3,76,0.8636363636363636,0.2,0.32478632478632474,0.8307800751879698,0.5123151891508966,0.39295287713553645,0.5983258928571429,0.0033482142857142855,1.7751133603451308,1.7967914973269217,1.9344451953656971
ML-DSA-44,LSTM,10,Standard,0,798,0,93,0.0,0.0,0.0,0.7480125043792276,0.3112011703373081,0.0,0.5,0.0,0.8241079503204674,0.8165204999386333,0.8810482460830826
ML-DSA-44,LSTM,10,Mixed_Unseen,0,896,0,95,0.0,0.0,0.0,0.8248707706766918,0.49797611930691754,0.0,0.5,0.0,0.8241079503204674,0.8165204999386333,0.8810482460830826
ML-DSA-44,HMM,10,Standard,45,361,437,48,0.09336099585062241,0.4838709677419355,0.15652173913043477,0.49765542889481773,0.1089751080151664,-0.039113335658051876,0.4681259600614439,0.5476190476190477,0.11462753944215365,0.11320799239911139,0.12125625580665655
ML-DSA-44,HMM,10,Mixed_Unseen,60,448,448,35,0.11811023622047244,0.631578947368421,0.1990049751243781,0.6002467105263158,0.14072109000858474,0.0774991240226644,0.5657894736842105,0.5,0.11462753944215365,0.11320799239911139,0.12125625580665655
ML-DSA-44,GRU,20,Standard,6,781,8,86,0.42857142857142855,0.06521739130434782,0.11320754716981131,0.7602909571830054,0.3036825363794081,0.13469045125083132,0.5275389871604121,0.010139416983523447,2.6540737294999417,2.7509380015544593,2.962613157433225
ML-DSA-44,GRU,20,Mixed_Unseen,21,882,6,72,0.7777777777777778,0.22580645161290322,0.35000000000000003,0.8346532015886855,0.5068791034199683,0.3922243394361709,0.6095248474280732,0.006756756756756757,2.6540737294999417,2.7509380015544593,2.962613157433225
ML-DSA-44,LSTM,20,Standard,0,789,0,92,0.0,0.0,0.0,0.7530583567531823,0.3158199607168741,0.0,0.5,0.0,1.0840196098433807,1.0736459953477606,1.1478183951112442
ML-DSA-44,LSTM,20,Mixed_Unseen,0,888,0,93,0.0,0.0,0.0,0.8405986631793084,0.5261417234232595,0.0,0.5,0.0,1.0840196098433807,1.0736459953477606,1.1478183951112442
ML-DSA-44,HMM,20,Standard,25,504,285,67,0.08064516129032258,0.2717391304347826,0.12437810945273632,0.45687992505648317,0.09419808905489399,-0.057299105087055616,0.4552612001983799,0.3612167300380228,0.11712301027728245,0.11574999371077865,0.12464170358725823
ML-DSA-44,HMM,20,Mixed_Unseen,43,571,317,50,0.11944444444444445,0.46236559139784944,0.18984547461368656,0.5712486680228616,0.1291892033720812,0.06405071407593385,0.5526918047079338,0.356981981981982,0.11712301027728245,0.11574999371077865,0.12464170358725823
Falcon-512,GRU,5,Standard,7,799,4,86,0.6363636363636364,0.07526881720430108,0.1346153846153846,0.7450287229341582,0.31639783005145966,0.19467462550761128,0.5351437485772439,0.0049813200498132005,1.1441003099025693,1.1330414999974892,1.2012746919936035
Falcon-512,GRU,5,Mixed_Unseen,20,895,5,76,0.8,0.20833333333333334,0.3305785123966943,0.8288888888888889,0.496446099947202,0.38255828452319424,0.6013888888888889,0.005555555555555556,1.1441003099025693,1.1330414999974892,1.2012746919936035
Falcon-512,LSTM,5,Standard,0,803,0,93,0.0,0.0,0.0,0.7428594383963363,0.30917684927260486,0.0,0.5,0.0,0.8417325193295255,0.830375007353723,0.9137458582699763
Falcon-512,LSTM,5,Mixed_Unseen,0,900,0,96,0.0,0.0,0.0,0.8272453703703703,0.5053882750091178,0.0,0.5,0.0,0.8417325193295255,0.830375007353723,0.9137458582699763
Falcon-512,HMM,5,Standard,47,487,316,46,0.12947658402203857,0.5053763440860215,0.206140350877193,0.5632373224065668,0.12776213582822699,0.06949064095414784,0.5559260300753893,0.39352428393524286,0.11025881030946039,0.10922950605163351,0.11622354068094864
Falcon-512,HMM,5,Mixed_Unseen,44,554,346,52,0.11282051282051282,0.4583333333333333,0.18106995884773663,0.5687731481481482,0.12966006569225702,0.044675291151216864,0.5369444444444444,0.3844444444444444,0.11025881030946039,0.10922950605163351,0.11622354068094864
Falcon-512,GRU,10,Standard,5,792,6,88,0.45454545454545453,0.053763440860215055,0.09615384615384615,0.748794028080955,0.3129970111433745,0.12804619588405727,0.5231223219338669,0.007518796992481203,1.7082104299333878,1.6748960042605177,1.8582044511276763
Falcon-512,GRU,10,Mixed_Unseen,15,893,3,80,0.8333333333333334,0.15789473684210525,0.2654867256637168,0.8283364661654135,0.5129811862763838,0.3407080322541724,0.5772732612781954,0.0033482142857142855,1.7082104299333878,1.6748960042605177,1.8582044511276763
Falcon-512,LSTM,10,Standard,0,798,0,93,0.0,0.0,0.0,0.7434446330880966,0.3149364288244482,0.0,0.5,0.0,0.8306912900297903,0.8027920048334636,0.8804500081168953
Falcon-512,LSTM,10,Mixed_Unseen,0,896,0,95,0.0,0.0,0.0,0.8330474624060151,0.51008173690951,0.0,0.5,0.0,0.8306912900297903,0.8027920048334636,0.8804500081168953
Falcon-512,HMM,10,Standard,45,361,437,48,0.09336099585062241,0.4838709677419355,0.15652173913043477,0.49765542889481773,0.1089751080151664,-0.039113335658051876,0.4681259600614439,0.5476190476190477,0.13091873013763689,0.12027100456180051,0.1832166941312607
Falcon-512,HMM,10,Mixed_Unseen,60,448,448,35,0.11811023622047244,0.631578947368421,0.1990049751243781,0.6002467105263158,0.14072109000858474,0.0774991240226644,0.5657894736842105,0.5,0.13091873013763689,0.12027100456180051,0.1832166941312607
Falcon-512,GRU,20,Standard,8,782,7,84,0.5333333333333333,0.08695652173913043,0.14953271028037382,0.7506612663250124,0.3148726461605849,0.18458348899652804,0.5390422659392737,0.008871989860583017,2.426309589354787,2.374958508880809,2.7712874973076396
Falcon-512,GRU,20,Mixed_Unseen,22,882,6,71,0.7857142857142857,0.23655913978494625,0.3636363636363636,0.8381889954470599,0.5069104998988178,0.4042751241384864,0.6149011915140947,0.006756756756756757,2.426309589354787,2.374958508880809,2.7712874973076396
Falcon-512,LSTM,20,Standard,1,789,0,91,1.0,0.010869565217391304,0.02150537634408602,0.7556896456714608,0.3074402615271395,0.09871956928433083,0.5054347826086957,0.0,1.1494762793881819,1.1240000021643937,1.286827399599133
Falcon-512,LSTM,20,Mixed_Unseen,9,887,1,84,0.9,0.0967741935483871,0.17475728155339806,0.8347863993025284,0.5204972250659387,0.27894240544963167,0.5478240337111304,0.0011261261261261261,1.1494762793881819,1.1240000021643937,1.286827399599133
Falcon-512,HMM,20,Standard,25,504,285,67,0.08064516129032258,0.2717391304347826,0.12437810945273632,0.45687992505648317,0.09419808905489399,-0.057299105087055616,0.4552612001983799,0.3612167300380228,0.11576831981074065,0.11479199747554958,0.12287679346627556
Falcon-512,HMM,20,Mixed_Unseen,43,571,317,50,0.11944444444444445,0.46236559139784944,0.18984547461368656,0.5712486680228616,0.1291892033720812,0.06405071407593385,0.5526918047079338,0.356981981981982,0.11576831981074065,0.11479199747554958,0.12287679346627556
