algo,seed,wilcoxon_p,effect_size,base_precision,base_recall,base_f1,base_accuracy,base_roc_auc,base_pr_auc,base_mcc,base_balanced_accuracy,base_fpr,base_tpr,base_mean_latency_ms,adapt_precision,adapt_recall,adapt_f1,adapt_accuracy,adapt_roc_auc,adapt_pr_auc,adapt_mcc,adapt_balanced_accuracy,adapt_fpr,adapt_tpr,adapt_mean_latency_ms
ML-KEM-1024,3333,1.9590925526240208e-07,0.35159817351598177,0.708502024291498,1.0,0.8293838862559242,0.8767123287671232,0.9986866922808243,0.9974050554663915,0.7640536313345984,0.9119804400977995,0.17603911980440098,1.0,0.05403855075574901,0.9642857142857143,0.15428571428571428,0.2660098522167488,0.7448630136986302,0.8703178484107579,0.7034007901159242,0.3255761175311243,0.5759203632553266,0.0024449877750611247,0.15428571428571428,0.43669873720979036
ML-KEM-1024,4444,1.6089487856773523e-32,1.0,1.0,0.9942857142857143,0.997134670487106,0.9982876712328768,0.9999022004889976,0.9997802197802198,0.9959219985408999,0.9971428571428571,0.0,0.9942857142857143,0.05399854215857101,1.0,0.18857142857142858,0.3173076923076923,0.7568493150684932,0.8988054488298987,0.7692702766141802,0.37413109081419443,0.5942857142857143,0.0,0.18857142857142858,0.43738296587173253
ML-KEM-1024,5555,3.5428638720887976e-07,0.3928571428571429,0.7743362831858407,1.0,0.8728179551122195,0.9126712328767124,0.9988822913028292,0.9978683673469388,0.8232745004741022,0.9376528117359413,0.12469437652811736,1.0,0.05358580040605101,0.967741935483871,0.34285714285714286,0.5063291139240507,0.7996575342465754,0.9075654907439749,0.8017740815876765,0.5026018626539763,0.6689835836535103,0.004889975550122249,0.34285714285714286,0.43728865989267013
ML-KEM-1024,6666,1.3476926165273326e-17,0.6815286624203822,0.8711340206185567,0.9657142857142857,0.9159891598915989,0.946917808219178,0.9968843870066364,0.9937917876962367,0.8798306682357123,0.9522947956688788,0.061124694376528114,0.9657142857142857,0.05375767407351977,1.0,0.21142857142857144,0.3490566037735849,0.7636986301369864,0.8749283967865875,0.7558972959068561,0.3976031610798701,0.6057142857142858,0.0,0.21142857142857144,0.43652114802843905
ML-KEM-1024,7777,1.4856842583856637e-11,0.5176470588235293,0.8064516129032258,1.0,0.8928571428571429,0.928082191780822,0.9995249738037024,0.9989528388321551,0.8506688608646162,0.9486552567237163,0.10268948655256724,1.0,0.05364377204685995,0.9591836734693877,0.26857142857142857,0.41964285714285715,0.7773972602739726,0.8940551868669229,0.7606073482498292,0.4356977633878944,0.6318407265106532,0.004889975550122249,0.26857142857142857,0.43535804095333575
ML-KEM-1024,9876,5.469546748799202e-15,0.6047904191616766,0.8439024390243902,0.9885714285714285,0.9105263157894737,0.9417808219178082,0.9989102340202585,0.9978801821465435,0.8737433153845701,0.9551659098847363,0.07823960880195599,0.9885714285714285,0.052991795213255165,0.9761904761904762,0.2342857142857143,0.3778801843317972,0.7688356164383562,0.8559692630108278,0.7061361999071919,0.41109871468053955,0.6159203632553266,0.0024449877750611247,0.2342857142857143,0.433259222605457
ML-KEM-1024,5432,4.7321385069979755e-08,0.38235294117647056,0.7322175732217573,1.0,0.8454106280193237,0.8904109589041096,0.9975969263010828,0.9951942066251593,0.7859012280485261,0.921760391198044,0.15647921760391198,1.0,0.053800540427639064,0.9714285714285714,0.19428571428571428,0.3238095238095238,0.7568493150684932,0.884093608103388,0.7475222802387496,0.3702553089318695,0.5959203632553266,0.0024449877750611247,0.19428571428571428,0.437399295911397
ML-KEM-1024,1999,2.1967834286013694e-11,0.514792899408284,0.8066037735849056,0.9771428571428571,0.8837209302325582,0.922945205479452,0.99674467341949,0.9936984709838013,0.8353924289229715,0.9384491791826755,0.10024449877750612,0.9771428571428571,0.05355926409159621,0.9777777777777777,0.25142857142857145,0.4,0.773972602739726,0.8874467341949004,0.7830954346511871,0.4277113276132335,0.6244917918267552,0.0024449877750611247,0.25142857142857145,0.4361700521756525
ML-KEM-1024,2000,7.439498404840474e-05,0.2753623188405797,0.6679389312977099,1.0,0.8009153318077803,0.851027397260274,0.9578204680405169,0.7659439950877733,0.7251613695766718,0.8936430317848411,0.21271393643031786,1.0,0.05375808232451139,0.7818181818181819,0.24571428571428572,0.3739130434782609,0.7534246575342466,0.8126021655606008,0.6503527058444732,0.33937311853789764,0.6081872162067761,0.029339853300733496,0.24571428571428572,0.43733479225472227
ML-KEM-1024,2010,1.1012331484331287e-09,0.4421052631578948,0.7665198237885462,0.9942857142857143,0.8656716417910447,0.9075342465753424,0.9986727209221097,0.9977785218492397,0.8126429739570395,0.9323506811037374,0.1295843520782396,0.9942857142857143,0.05465868401200804,0.9743589743589743,0.21714285714285714,0.35514018691588783,0.7636986301369864,0.8965001746419838,0.7696806147839494,0.3939833405980259,0.6073489346838981,0.0024449877750611247,0.21714285714285714,0.4429066017882465
